"Entity","Code","Year","Average.Total.Years.of.Schooling.for.Adult.Population..Lee.Lee..2016...Barro.Lee..2018..and.UNDP..2018.."
"Comoros","COM",2012,4.6
"Comoros","COM",2013,4.7
"Comoros","COM",2014,4.8
"Comoros","COM",2015,4.8
"Comoros","COM",2016,4.8
"Comoros","COM",2017,4.8
"Congo","COG",1995,5.1
"Congo","COG",1996,5.2
"Congo","COG",1997,5.3
"Congo","COG",1998,5.4
"Congo","COG",1999,5.5
"Congo","COG",2000,5.5
"Congo","COG",2001,5.6
"Congo","COG",2002,5.7
"Congo","COG",2003,5.7
"Congo","COG",2004,5.8
"Congo","COG",2005,5.8
"Congo","COG",2006,5.9
"Congo","COG",2007,5.9
"Congo","COG",2008,6
"Congo","COG",2009,6
"Congo","COG",2010,6.1
"Congo","COG",2011,6.2
"Congo","COG",2012,6.2
"Congo","COG",2013,6.3
"Congo","COG",2014,6.3
"Congo","COG",2015,6.3
"Congo","COG",2016,6.3
"Congo","COG",2017,6.3
"Cote d'Ivoire","CIV",1995,2.5
"Cote d'Ivoire","CIV",1996,2.6
"Cote d'Ivoire","CIV",1997,2.8
"Cote d'Ivoire","CIV",1998,3
"Cote d'Ivoire","CIV",1999,3.1
"Cote d'Ivoire","CIV",2000,3.3
"Cote d'Ivoire","CIV",2001,3.3
"Cote d'Ivoire","CIV",2002,3.4
"Cote d'Ivoire","CIV",2003,3.5
"Cote d'Ivoire","CIV",2004,3.6
"Cote d'Ivoire","CIV",2005,3.7
"Cote d'Ivoire","CIV",2006,3.8
"Cote d'Ivoire","CIV",2007,3.9
"Cote d'Ivoire","CIV",2008,4
"Cote d'Ivoire","CIV",2009,4.1
"Cote d'Ivoire","CIV",2010,4.2
"Cote d'Ivoire","CIV",2011,4.4
"Cote d'Ivoire","CIV",2012,4.5
"Cote d'Ivoire","CIV",2013,4.7
"Cote d'Ivoire","CIV",2014,4.4
"Cote d'Ivoire","CIV",2015,5
"Cote d'Ivoire","CIV",2016,5.1
"Cote d'Ivoire","CIV",2017,5.2
"Democratic Republic of Congo","COD",1995,2.9
"Democratic Republic of Congo","COD",1996,3
"Democratic Republic of Congo","COD",1997,3.1
"Democratic Republic of Congo","COD",1998,3.1
"Democratic Republic of Congo","COD",1999,3.2
"Democratic Republic of Congo","COD",2000,3.3
"Democratic Republic of Congo","COD",2001,3.5
"Democratic Republic of Congo","COD",2002,3.7
"Democratic Republic of Congo","COD",2003,3.9
"Democratic Republic of Congo","COD",2004,4.1
"Democratic Republic of Congo","COD",2005,4.3
"Democratic Republic of Congo","COD",2006,4.5
"Democratic Republic of Congo","COD",2007,4.8
"Democratic Republic of Congo","COD",2008,5
"Democratic Republic of Congo","COD",2009,5.2
"Democratic Republic of Congo","COD",2010,5.4
"Democratic Republic of Congo","COD",2011,5.6
"Democratic Republic of Congo","COD",2012,5.8
"Democratic Republic of Congo","COD",2013,6
"Democratic Republic of Congo","COD",2014,6.2
"Democratic Republic of Congo","COD",2015,6.4
"Democratic Republic of Congo","COD",2016,6.6
"Democratic Republic of Congo","COD",2017,6.8
"Egypt","EGY",1995,4
"Egypt","EGY",1996,4.2
"Egypt","EGY",1997,4.3
"Egypt","EGY",1998,4.5
"Egypt","EGY",1999,4.6
"Egypt","EGY",2000,4.8
"Egypt","EGY",2001,4.9
"Egypt","EGY",2002,5.1
"Egypt","EGY",2003,5.3
"Egypt","EGY",2004,5.4
"Egypt","EGY",2005,5.6
"Egypt","EGY",2006,5.8
"Egypt","EGY",2007,6
"Egypt","EGY",2008,6.2
"Egypt","EGY",2009,6.4
"Egypt","EGY",2010,6.5
"Egypt","EGY",2011,6.7
"Egypt","EGY",2012,6.8
"Egypt","EGY",2013,6.9
"Egypt","EGY",2014,7
"Egypt","EGY",2015,7.1
"Egypt","EGY",2016,7.2
"Egypt","EGY",2017,7.2
"Eritrea","ERI",2005,3.7
"Eritrea","ERI",2006,3.7
"Eritrea","ERI",2007,3.8
"Eritrea","ERI",2008,3.8
"Eritrea","ERI",2009,3.8
"Eritrea","ERI",2010,3.9
"Eritrea","ERI",2011,3.9
"Eritrea","ERI",2012,3.9
"Eritrea","ERI",2013,3.9
"Eritrea","ERI",2014,3.9
"Eritrea","ERI",2015,3.9
"Eritrea","ERI",2016,3.9
"Eritrea","ERI",2017,4
"Ethiopia","ETH",2000,1.5
"Ethiopia","ETH",2001,1.6
"Ethiopia","ETH",2002,1.7
"Ethiopia","ETH",2003,1.7
"Ethiopia","ETH",2004,1.8
"Ethiopia","ETH",2005,1.9
"Ethiopia","ETH",2006,2
"Ethiopia","ETH",2007,2.1
"Ethiopia","ETH",2008,2.2
"Ethiopia","ETH",2009,2.3
"Ethiopia","ETH",2010,2.3
"Ethiopia","ETH",2011,2.4
"Ethiopia","ETH",2012,2.4
"Ethiopia","ETH",2013,2.5
"Ethiopia","ETH",2014,2.5
"Ethiopia","ETH",2015,2.6
"Ethiopia","ETH",2016,2.7
"Ethiopia","ETH",2017,2.7
"Gambia","GMB",1995,1.8
"Gambia","GMB",1996,1.8
"Gambia","GMB",1997,1.9
"Gambia","GMB",1998,1.9
"Gambia","GMB",1999,2
"Gambia","GMB",2000,2
"Gambia","GMB",2001,2.1
"Gambia","GMB",2002,2.1
"Gambia","GMB",2003,2.2
"Gambia","GMB",2004,2.3
"Gambia","GMB",2005,2.4
"Gambia","GMB",2006,2.5
"Gambia","GMB",2007,2.5
"Gambia","GMB",2008,2.6
"Gambia","GMB",2009,2.7
"Gambia","GMB",2010,2.8
"Gambia","GMB",2011,2.9
"Gambia","GMB",2012,3.1
"Gambia","GMB",2013,3.2
"Gambia","GMB",2014,3.3
"Gambia","GMB",2015,3.4
"Gambia","GMB",2016,3.4
"Gambia","GMB",2017,3.5
"Ghana","GHA",1995,5.7
"Ghana","GHA",1996,5.8
"Ghana","GHA",1997,5.8
"Ghana","GHA",1998,5.9
"Ghana","GHA",1999,6
"Ghana","GHA",2000,6.1
"Ghana","GHA",2001,6.2
"Ghana","GHA",2002,6.2
"Ghana","GHA",2003,6.3
"Ghana","GHA",2004,6.4
"Ghana","GHA",2005,6.4
"Ghana","GHA",2006,6.5
"Ghana","GHA",2007,6.5
"Ghana","GHA",2008,6.6
"Ghana","GHA",2009,6.7
"Ghana","GHA",2010,6.7
"Ghana","GHA",2011,6.8
"Ghana","GHA",2012,6.8
"Ghana","GHA",2013,6.9
"Ghana","GHA",2014,6.9
"Ghana","GHA",2015,6.9
"Ghana","GHA",2016,7.1
"Ghana","GHA",2017,7.1
"Guinea","GIN",1995,1.3
"Guinea","GIN",1996,1.4
"Guinea","GIN",1997,1.4
"Guinea","GIN",1998,1.4
"Guinea","GIN",1999,1.4
"Guinea","GIN",2000,1.5
"Guinea","GIN",2001,1.5
"Guinea","GIN",2002,1.5
"Guinea","GIN",2003,1.5
"Guinea","GIN",2004,1.6
"Guinea","GIN",2005,1.6
"Guinea","GIN",2006,1.6
"Guinea","GIN",2007,1.6
"Guinea","GIN",2008,1.6
"Guinea","GIN",2009,1.6
"Guinea","GIN",2010,1.6
"Guinea","GIN",2011,2
"Guinea","GIN",2012,2.4
"Guinea","GIN",2013,2.6
"Guinea","GIN",2014,2.6
"Guinea","GIN",2015,2.6
"Guinea","GIN",2016,2.6
"Guinea","GIN",2017,2.6
"Iran","IRN",1995,5.3
"Iran","IRN",1996,5.5
"Iran","IRN",1997,5.6
"Iran","IRN",1998,5.8
"Iran","IRN",1999,6
"Iran","IRN",2000,6.2
"Iran","IRN",2001,6.4
"Iran","IRN",2002,6.5
"Iran","IRN",2003,6.7
"Iran","IRN",2004,6.9
"Iran","IRN",2005,7
"Iran","IRN",2006,9.1
"Iran","IRN",2007,8.9
"Iran","IRN",2008,8.6
"Iran","IRN",2009,8.8
"Iran","IRN",2010,9
"Iran","IRN",2011,9.2
"Iran","IRN",2012,9.5
"Iran","IRN",2013,9.8
"Iran","IRN",2014,9.8
"Iran","IRN",2015,9.8
"Iran","IRN",2016,9.8
"Iran","IRN",2017,9.8
"Iraq","IRQ",1995,4.2
"Iraq","IRQ",1996,4.3
"Iraq","IRQ",1997,4.5
"Iraq","IRQ",1998,4.7
"Iraq","IRQ",1999,4.9
"Iraq","IRQ",2000,5
"Iraq","IRQ",2001,5.2
"Iraq","IRQ",2002,5.4
"Iraq","IRQ",2003,5.5
"Iraq","IRQ",2004,5.7
"Iraq","IRQ",2005,5.8
"Iraq","IRQ",2006,5.9
"Iraq","IRQ",2007,6.1
"Iraq","IRQ",2008,6.2
"Iraq","IRQ",2009,6.3
"Iraq","IRQ",2010,6.4
"Iraq","IRQ",2011,6.6
"Iraq","IRQ",2012,6.6
"Iraq","IRQ",2013,6.6
"Iraq","IRQ",2014,6.6
"Iraq","IRQ",2015,6.6
"Iraq","IRQ",2016,6.7
"Iraq","IRQ",2017,6.8
"Israel","ISR",1995,11.6
"Israel","ISR",1996,11.7
"Israel","ISR",1997,11.8
"Israel","ISR",1998,11.8
"Israel","ISR",1999,11.9
"Israel","ISR",2000,12
"Israel","ISR",2001,12.1
"Israel","ISR",2002,12.1
"Israel","ISR",2003,12.2
"Israel","ISR",2004,12.2
"Israel","ISR",2005,12.3
"Israel","ISR",2006,12.1
"Israel","ISR",2007,12.5
"Israel","ISR",2008,12.6
"Israel","ISR",2009,12.6
"Israel","ISR",2010,12.6
"Israel","ISR",2011,12.7
"Israel","ISR",2012,12.8
"Israel","ISR",2013,12.8
"Israel","ISR",2014,12.9
"Israel","ISR",2015,13
"Israel","ISR",2016,13
"Israel","ISR",2017,13
"Kenya","KEN",1995,4.5
"Kenya","KEN",1996,4.7
"Kenya","KEN",1997,4.8
"Kenya","KEN",1998,5
"Kenya","KEN",1999,5.1
"Kenya","KEN",2000,5.3
"Kenya","KEN",2001,5.4
"Kenya","KEN",2002,5.5
"Kenya","KEN",2003,5.6
"Kenya","KEN",2004,5.7
"Kenya","KEN",2005,5.8
"Kenya","KEN",2006,5.9
"Kenya","KEN",2007,6
"Kenya","KEN",2008,6
"Kenya","KEN",2009,6.1
"Kenya","KEN",2010,6.1
"Kenya","KEN",2011,6.2
"Kenya","KEN",2012,6.2
"Kenya","KEN",2013,6.3
"Kenya","KEN",2014,6.3
"Kenya","KEN",2015,6.3
"Kenya","KEN",2016,6.4
"Kenya","KEN",2017,6.5
"Lebanon","LBN",2005,7.5
"Lebanon","LBN",2006,7.6
"Lebanon","LBN",2007,7.8
"Lebanon","LBN",2008,7.8
"Lebanon","LBN",2009,7.9
"Lebanon","LBN",2010,7.9
"Lebanon","LBN",2011,8
"Lebanon","LBN",2012,8.1
"Lebanon","LBN",2013,8.3
"Lebanon","LBN",2014,8.4
"Lebanon","LBN",2015,8.5
"Lebanon","LBN",2016,8.6
"Lebanon","LBN",2017,8.7
"Libya","LBY",1995,4.7
"Libya","LBY",1996,4.9
"Libya","LBY",1997,5
"Libya","LBY",1998,5.2
"Libya","LBY",1999,5.4
"Libya","LBY",2000,5.6
"Libya","LBY",2001,5.8
"Libya","LBY",2002,5.9
"Libya","LBY",2003,6.1
"Libya","LBY",2004,6.3
"Libya","LBY",2005,6.4
"Libya","LBY",2006,6.6
"Libya","LBY",2007,6.8
"Libya","LBY",2008,7
"Libya","LBY",2009,7.1
"Libya","LBY",2010,7.3
"Libya","LBY",2011,7.3
"Libya","LBY",2012,7.3
"Libya","LBY",2013,7.3
"Libya","LBY",2014,7.3
"Libya","LBY",2015,7.3
"Libya","LBY",2016,7.3
"Libya","LBY",2017,7.3
"Madagascar","MDG",2000,5.2
"Madagascar","MDG",2001,5.2
"Madagascar","MDG",2002,5.3
"Madagascar","MDG",2003,5.4
"Madagascar","MDG",2004,5.5
"Madagascar","MDG",2005,5.6
"Madagascar","MDG",2006,5.7
"Madagascar","MDG",2007,5.8
"Madagascar","MDG",2008,5.9
"Madagascar","MDG",2009,5.9
"Madagascar","MDG",2010,6
"Madagascar","MDG",2011,6.1
"Madagascar","MDG",2012,6.1
"Madagascar","MDG",2013,6.1
"Madagascar","MDG",2014,6.1
"Madagascar","MDG",2015,6.1
"Madagascar","MDG",2016,6.1
"Madagascar","MDG",2017,6.1
"Mali","MLI",1995,0.9
"Mali","MLI",1996,1
"Mali","MLI",1997,1
"Mali","MLI",1998,1.1
"Mali","MLI",1999,1.1
"Mali","MLI",2000,1.2
"Mali","MLI",2001,1.3
"Mali","MLI",2002,1.4
"Mali","MLI",2003,1.5
"Mali","MLI",2004,1.6
"Mali","MLI",2005,1.7
"Mali","MLI",2006,1.7
"Mali","MLI",2007,1.8
"Mali","MLI",2008,1.9
"Mali","MLI",2009,1.9
"Mali","MLI",2010,2
"Mali","MLI",2011,2
"Mali","MLI",2012,2.1
"Mali","MLI",2013,2.2
"Mali","MLI",2014,2.3
"Mali","MLI",2015,2.3
"Mali","MLI",2016,2.3
"Mali","MLI",2017,2.3
"Morocco","MAR",1995,2.8
"Morocco","MAR",1996,2.9
"Morocco","MAR",1997,3
"Morocco","MAR",1998,3.1
"Morocco","MAR",1999,3.2
"Morocco","MAR",2000,3.4
"Morocco","MAR",2001,3.5
"Morocco","MAR",2002,3.6
"Morocco","MAR",2003,3.7
"Morocco","MAR",2004,3.8
"Morocco","MAR",2005,3.9
"Morocco","MAR",2006,4
"Morocco","MAR",2007,4
"Morocco","MAR",2008,4.1
"Morocco","MAR",2009,4.2
"Morocco","MAR",2010,4.2
"Morocco","MAR",2011,4.4
"Morocco","MAR",2012,4.6
"Morocco","MAR",2013,4.8
"Morocco","MAR",2014,5
"Morocco","MAR",2015,5
"Morocco","MAR",2016,5.4
"Morocco","MAR",2017,5.5
"Nigeria","NGA",2003,5.2
"Nigeria","NGA",2004,5.2
"Nigeria","NGA",2005,5.2
"Nigeria","NGA",2006,5.2
"Nigeria","NGA",2007,5.2
"Nigeria","NGA",2008,5.2
"Nigeria","NGA",2009,5.2
"Nigeria","NGA",2010,5.2
"Nigeria","NGA",2011,5.5
"Nigeria","NGA",2012,5.7
"Nigeria","NGA",2013,5.9
"Nigeria","NGA",2014,5.9
"Nigeria","NGA",2015,6
"Nigeria","NGA",2016,6.2
"Nigeria","NGA",2017,6.2
"Saudi Arabia","SAU",1995,6.2
"Saudi Arabia","SAU",1996,6.3
"Saudi Arabia","SAU",1997,6.4
"Saudi Arabia","SAU",1998,6.5
"Saudi Arabia","SAU",1999,6.6
"Saudi Arabia","SAU",2000,6.7
"Saudi Arabia","SAU",2001,6.8
"Saudi Arabia","SAU",2002,7
"Saudi Arabia","SAU",2003,7.1
"Saudi Arabia","SAU",2004,7.5
"Saudi Arabia","SAU",2005,7.6
"Saudi Arabia","SAU",2006,7.8
"Saudi Arabia","SAU",2007,8.1
"Saudi Arabia","SAU",2008,8.3
"Saudi Arabia","SAU",2009,8.6
"Saudi Arabia","SAU",2010,8.9
"Saudi Arabia","SAU",2011,9.1
"Saudi Arabia","SAU",2012,9.4
"Saudi Arabia","SAU",2013,9.5
"Saudi Arabia","SAU",2014,9.5
"Saudi Arabia","SAU",2015,9.5
"Saudi Arabia","SAU",2016,9.5
"Saudi Arabia","SAU",2017,9.5
"Senegal","SEN",1995,2.1
"Senegal","SEN",1996,2
"Senegal","SEN",1997,2
"Senegal","SEN",1998,2
"Senegal","SEN",1999,1.9
"Senegal","SEN",2000,1.9
"Senegal","SEN",2001,2.3
"Senegal","SEN",2002,2.4
"Senegal","SEN",2003,2.4
"Senegal","SEN",2004,2.4
"Senegal","SEN",2005,2.4
"Senegal","SEN",2006,2.4
"Senegal","SEN",2007,2.4
"Senegal","SEN",2008,2.4
"Senegal","SEN",2009,2.4
"Senegal","SEN",2010,2.4
"Senegal","SEN",2011,2.4
"Senegal","SEN",2012,2.6
"Senegal","SEN",2013,2.8
"Senegal","SEN",2014,2.8
"Senegal","SEN",2015,2.9
"Senegal","SEN",2016,2.9
"Senegal","SEN",2017,3
"Somalia","SOM",2006,2.1
"South Africa","ZAF",1995,8.2
"South Africa","ZAF",1996,8.3
"South Africa","ZAF",1997,8.4
"South Africa","ZAF",1998,8.5
"South Africa","ZAF",1999,8.7
"South Africa","ZAF",2000,8.8
"South Africa","ZAF",2001,7.5
"South Africa","ZAF",2002,8.5
"South Africa","ZAF",2003,8.8
"South Africa","ZAF",2004,8.8
"South Africa","ZAF",2005,8.9
"South Africa","ZAF",2006,9
"South Africa","ZAF",2007,9.1
"South Africa","ZAF",2008,9.7
"South Africa","ZAF",2009,10.1
"South Africa","ZAF",2010,10
"South Africa","ZAF",2011,9.9
"South Africa","ZAF",2012,9.8
"South Africa","ZAF",2013,9.9
"South Africa","ZAF",2014,10
"South Africa","ZAF",2015,10.1
"South Africa","ZAF",2016,10.1
"South Africa","ZAF",2017,10.1
"Syria","SYR",1995,4.5
"Syria","SYR",1996,4.5
"Syria","SYR",1997,4.5
"Syria","SYR",1998,4.5
"Syria","SYR",1999,4.6
"Syria","SYR",2000,4.6
"Syria","SYR",2001,4.8
"Syria","SYR",2002,4.7
"Syria","SYR",2003,5.1
"Syria","SYR",2004,5.4
"Syria","SYR",2005,5.8
"Syria","SYR",2006,6.2
"Syria","SYR",2007,6.5
"Syria","SYR",2008,6.3
"Syria","SYR",2009,6.6
"Syria","SYR",2010,6.3
"Syria","SYR",2011,6.3
"Syria","SYR",2012,6.3
"Syria","SYR",2013,6.3
"Syria","SYR",2014,5.6
"Syria","SYR",2015,5.1
"Syria","SYR",2016,5.1
"Syria","SYR",2017,5.1
"Tunisia","TUN",1995,4.1
"Tunisia","TUN",1996,4.3
"Tunisia","TUN",1997,4.4
"Tunisia","TUN",1998,4.6
"Tunisia","TUN",1999,4.7
"Tunisia","TUN",2000,4.9
"Tunisia","TUN",2001,5.1
"Tunisia","TUN",2002,5.2
"Tunisia","TUN",2003,5.4
"Tunisia","TUN",2004,5.6
"Tunisia","TUN",2005,5.8
"Tunisia","TUN",2006,5.9
"Tunisia","TUN",2007,6.1
"Tunisia","TUN",2008,6.3
"Tunisia","TUN",2009,6.4
"Tunisia","TUN",2010,6.7
"Tunisia","TUN",2011,6.9
"Tunisia","TUN",2012,6.8
"Tunisia","TUN",2013,6.8
"Tunisia","TUN",2014,6.9
"Tunisia","TUN",2015,7
"Tunisia","TUN",2016,7.1
"Tunisia","TUN",2017,7.2
"Turkey","TUR",1995,4.8
"Turkey","TUR",1996,5
"Turkey","TUR",1997,5.1
"Turkey","TUR",1998,5.3
"Turkey","TUR",1999,5.4
"Turkey","TUR",2000,5.5
"Turkey","TUR",2001,5.6
"Turkey","TUR",2002,5.7
"Turkey","TUR",2003,5.8
"Turkey","TUR",2004,5.9
"Turkey","TUR",2005,6
"Turkey","TUR",2006,6.1
"Turkey","TUR",2007,6.2
"Turkey","TUR",2008,6.3
"Turkey","TUR",2009,6.5
"Turkey","TUR",2010,6.7
"Turkey","TUR",2011,7.2
"Turkey","TUR",2012,7.5
"Turkey","TUR",2013,7.7
"Turkey","TUR",2014,7.6
"Turkey","TUR",2015,7.8
"Turkey","TUR",2016,8
"Turkey","TUR",2017,8
